URN,KS5 Pupils,Avg A-level Points,Avg A-level Grade,Academic Year
140992,95,24.4,D+,2018
139956,97,24.02,D+,2018
131998,9,,,2018
138481,60,16.9,D-,2018
140549,54,32.86,C+,2018
138411,42,31.01,C,2018
122898,332,35.49,B-,2018
138248,152,33.57,C+,2018
138247,173,32.75,C+,2018
137857,125,28.89,C,2018
144486,31,10,E,2018
136361,260,31.42,C,2018
137117,51,22.12,D+,2018
138482,294,36.68,B-,2018
135583,149,28.25,C-,2018
137141,48,18.92,D,2018
137112,68,31.25,C,2018
139063,83,25.76,C-,2018
137409,264,33.95,C+,2018
137763,176,31.46,C,2018
139062,81,29.02,C,2018
138076,101,22.6,D+,2018
137628,177,30.52,C,2018
138641,160,33.65,C+,2018
137158,66,27.82,C-,2018
137159,153,28.28,C-,2018
144489,1,,,2018
138191,141,35.14,B-,2018
136628,342,36.01,B-,2018
136878,323,34,C+,2018
137319,287,30.48,C,2018
130777,2747,28.29,C-,2018
122908,150,31.07,C,2018
130787,1642,33.95,C+,2018
137798,548,28.11,C-,2018
134253,22,,,2018
131119,43,,,2018
135881,184,20.86,D,2018
130776,6670,24.31,D+,2018
137184,84,31.25,C,2018
122936,154,43.52,B+,2018
122915,229,45.4,A-,2018
140984,131,34.81,C+,2018
135761,46,20.91,D,2018
135685,47,,,2018
139765,136,28.16,C-,2018
138341,229,30.58,C,2018
138833,579,32.24,C+,2018
139624,982,34.77,C+,2018
137969,320,33.34,C+,2018
120341,140,22.35,D+,2018
130754,1050,,,2018
141874,124,26.45,C-,2018
138529,212,30,C,2018
138298,249,31.98,C+,2018
120339,64,33.54,C+,2018
138627,356,28.71,C,2018
138327,30,28.26,C-,2018
141682,448,30.74,C,2018
120274,139,26.32,C-,2018
138821,187,28.14,C-,2018
120334,239,41.53,B,2018
134438,18,,,2018
120317,37,33.68,C+,2018
130748,3334,28.4,C,2018
120332,301,42.23,B+,2018
120333,163,41.42,B,2018
138150,396,31.55,C,2018
145158,,,,2018
120316,165,40.35,B,2018
137640,333,33.31,C+,2018
141012,39,,,2018
130747,695,,,2018
137317,10,,,2018
140787,65,27.01,C-,2018
137161,417,31.16,C,2018
120331,79,38.33,B-,2018
130784,306,36.08,B-,2018
138894,206,22.48,D+,2018
137983,176,24.89,D+,2018
120345,27,,,2018
120306,172,31.99,C+,2018
130755,1300,25.41,C-,2018
131863,3575,,,2018
120324,57,42.6,B+,2018
131945,17,,,2018
120307,163,29.59,C,2018
120297,365,29.59,C,2018
141965,186,39.35,B,2018
120322,393,37.63,B-,2018
120320,349,44.39,B+,2018
130761,1657,23.57,D+,2018
139140,276,29.94,C,2018
137572,224,29.1,C,2018
137793,343,38.42,B,2018
136358,173,28.51,C,2018
139264,9,,,2018
136350,182,38.05,B-,2018
137213,257,35.6,B-,2018
145167,7,,,2018
136491,122,27.94,C-,2018
130759,813,21.28,D,2018
138638,321,36.66,B-,2018
137667,131,36.25,B-,2018
142262,139,37.06,B-,2018
136537,113,23.7,D+,2018
137447,243,28.43,C,2018
130762,2817,24.08,D+,2018
120724,82,35.92,B-,2018
140950,88,26.03,C-,2018
144968,70,25.19,C-,2018
130760,1863,27.78,C-,2018
136871,195,26,C-,2018
136315,142,38.57,B,2018
138665,216,36.06,B-,2018
137135,177,27.2,C-,2018
138839,99,25.69,C-,2018
136217,138,19.6,D,2018
138757,101,31.92,C+,2018
144488,0,,,2018
139304,231,34.85,C+,2018
120642,238,35.74,B-,2018
136044,387,27.32,C-,2018
139623,66,28.66,C,2018
120735,402,38.37,B,2018
139180,157,26.63,C-,2018
137873,228,29,C,2018
136282,107,19.1,D,2018
141254,28,,,2018
137166,260,34.33,C+,2018
135565,489,34.46,C+,2018
135564,93,25.24,C-,2018
136194,204,24.25,D+,2018
135563,61,26.67,C-,2018
120655,302,34.2,C+,2018
137282,310,26.95,C-,2018
136624,123,26.12,C-,2018
136415,277,34.2,C+,2018
132933,372,26.56,C-,2018
132951,775,33.27,C+,2018
138858,144,30.71,C,2018
137086,398,37.61,B-,2018
122149,214,37.94,B-,2018
135317,273,31.79,C+,2018
137087,163,28.85,C,2018
137089,286,30.78,C,2018
137878,191,28.63,C,2018
135306,124,24.98,D+,2018
138073,20,,,2018
143421,135,27.65,C-,2018
136489,199,30.85,C,2018
138030,129,22.77,D+,2018
135966,139,30.42,C,2018
135967,94,28.01,C-,2018
138932,178,26.11,C-,2018
139957,83,25.23,C-,2018
139060,89,25.58,C-,2018
139158,195,29.89,C,2018
136201,133,25.31,C-,2018
137613,108,23.08,D+,2018
137049,102,25.15,C-,2018
130772,1799,,,2018
137614,196,29.55,C,2018
134814,226,29.2,C,2018
130769,3572,24.21,D+,2018
122144,125,43.1,B+,2018
136299,510,35.07,B-,2018
140510,301,31.29,C,2018
122129,418,45.7,A-,2018
122151,53,30.83,C,2018
142063,137,27.79,C-,2018
122137,26,28.33,C-,2018
146209,,,,2018
139013,115,27.9,C-,2018
139690,206,21.32,D,2018
137912,169,32.76,C+,2018
136976,189,28.19,C-,2018
136488,272,31.11,C,2018
135785,47,,,2018
138214,196,30.54,C,2018
139988,151,25.64,C-,2018
122066,123,28.08,C-,2018
138235,141,23.06,D+,2018
142747,111,19.41,D,2018
139819,82,24.13,D+,2018
122131,143,39.07,B,2018
136948,135,25.93,C-,2018
122059,240,30.55,C,2018
139961,93,29.24,C,2018
124449,96,28.72,C,2018
124470,83,34.55,C+,2018
140123,165,36.05,B-,2018
137356,189,31.24,C,2018
124459,77,30.51,C,2018
142193,92,31.33,C,2018
124396,138,24.91,D+,2018
130809,1658,,,2018
137384,110,29.95,C,2018
124468,108,27.66,C-,2018
124486,34,32.64,C+,2018
143899,217,31.97,C+,2018
124425,162,27.83,C-,2018
124400,298,31.07,C,2018
124473,206,39.53,B,2018
136886,141,28.25,C-,2018
124402,68,22.95,D+,2018
136323,336,36.49,B-,2018
124445,55,24.37,D+,2018
124408,329,30.02,C,2018
142313,159,30.04,C,2018
141342,32,29.58,C,2018
141491,534,26.23,C-,2018
142711,66,23.99,D+,2018
124474,48,33.6,C+,2018
124488,4,,,2018
136685,68,,,2018
124399,17,35.11,B-,2018
124409,53,23.85,D+,2018
130812,5246,26.05,C-,2018
124487,168,34.59,C+,2018
124395,85,17.37,D-,2018
141343,77,27.59,C-,2018
124392,145,25.12,C-,2018
138729,213,34.11,C+,2018
124391,166,21.5,D,2018
142983,119,30.84,C,2018
135658,2263,,,2018
