URN,KS2 Pupils,KS2 Boys,KS2 Girls,Reading Progress,Reading Score,Reading Meet Std,Reading Exceed Std,Reading Progress Band,Reading Progress Desc,Writing Progress,Writing Score,Writing Meet Std,Writing Exceed Std,Writing Progress Band,Writing Progress Desc,Maths Progress,Maths Score,Maths Meet Std,Maths Exceed Std,Maths Progress Band,Maths Progress Desc,Overall Meet Std,Overall Exceed Std,Academic Year
135204,61,34,27,-3.2,103,70%,28%,5,Well Below Average,0.5,105,75%,30%,3,Average,-3.5,102,67%,16%,5,Well Below Average,62%,13%,2018
140170,36,14,22,-3.2,102,61%,6%,5,Well Below Average,-0.3,103,72%,17%,3,Average,-3.1,101,67%,6%,4,Below Average,53%,3%,2018
142114,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
104202,29,15,14,-1,105,76%,24%,3,Average,-1.1,105,66%,28%,3,Average,-1,104,79%,17%,3,Average,66%,0%,2018
120888,26,14,12,-5.1,101,58%,4%,5,Well Below Average,-1.5,102,54%,8%,3,Average,-3.6,102,62%,15%,5,Well Below Average,50%,4%,2018
123032,36,18,18,-0.3,107,86%,33%,3,Average,-1.9,107,81%,42%,3,Average,0.7,107,83%,39%,3,Average,78%,14%,2018
117171,37,22,15,-0.1,106,76%,30%,3,Average,1.9,108,81%,49%,3,Average,-0.2,105,78%,32%,3,Average,70%,22%,2018
132201,59,32,27,0.4,100,49%,5%,3,Average,2.9,101,58%,7%,1,Well Above Average,0.4,100,56%,7%,3,Average,39%,0%,2018
131850,58,27,31,1.8,103,69%,19%,2,Above Average,3.5,105,72%,36%,1,Well Above Average,1.8,102,69%,16%,2,Above Average,59%,5%,2018
121343,53,27,26,-2.6,101,60%,9%,4,Below Average,-0.8,101,58%,17%,3,Average,-3.6,99,51%,9%,5,Well Below Average,42%,4%,2018
131397,61,39,22,-0.8,103,70%,26%,3,Average,-0.9,105,74%,33%,3,Average,-0.2,103,66%,28%,3,Average,62%,7%,2018
137392,29,10,19,0.9,106,79%,31%,3,Average,1.2,107,86%,24%,3,Average,-0.4,104,76%,21%,3,Average,69%,14%,2018
143627,112,56,56,1,109,92%,54%,3,Average,-3.8,110,92%,52%,5,Well Below Average,-1.4,106,88%,37%,4,Below Average,76%,5%,2018
145933,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
142578,27,23,4,-3.9,99,52%,15%,5,Well Below Average,-3.7,100,59%,7%,5,Well Below Average,-3,100,56%,7%,4,Below Average,33%,7%,2018
108453,34,17,17,3,107,88%,29%,2,Above Average,-0.1,106,76%,35%,3,Average,0,103,71%,12%,3,Average,65%,3%,2018
119688,10,5,5,-2.7,101,60%,20%,3,Average,-6.7,102,60%,20%,5,Well Below Average,-1.6,102,60%,20%,3,Average,50%,0%,2018
142219,,,,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,,,,NOT AVAIL,,,2018
111106,32,17,15,1,108,84%,34%,3,Average,1.8,109,91%,34%,3,Average,2.2,108,88%,47%,2,Above Average,84%,22%,2018
